time,F1,DF,angle
0,150,50,6.96
60,350,50,3.86
120,500,-5,0.09
180,250,-20,-2.07
240,350,20,1.53
300,400,0,0.28
360,500,-45,-2.38
420,250,15,1.54
480,350,5,0.79
540,300,25,2.1
600,150,-40,-7.46
660,400,40,2.73
720,350,-20,-1.55
780,400,45,3.16
840,150,-15,-2.5
900,200,5,0.98
960,350,-50,-3.68
1020,150,20,3.48
1080,200,-25,-3.21
1140,200,0,0.19
1200,200,25,3.41
1260,150,40,6.15
1320,100,5,0.95
1380,300,20,2.05
1440,450,-10,-0.49
1500,450,-40,-2.14
1560,250,5,0.73
1620,350,25,2.09
1680,150,25,3.8
1740,150,15,2.83
1800,500,-40,-1.69
1860,200,35,3.93
1920,450,-15,-0.67
1980,100,30,6.26
2040,100,25,5.24
2100,150,-45,-8.36
2160,100,-50,-13.96
2220,250,-35,-3.45
2280,200,40,4.84
2340,450,-35,-2.19
2400,450,-30,-1.76
2460,450,45,2.76
2520,450,-40,-2.77
2580,450,10,0.37
2640,350,-5,-0.36
2700,150,-20,-3.43
2760,250,35,3.81
2820,200,-35,-5.06
2880,500,50,2.91
2940,250,-25,-2.67
3000,450,25,1.77
3060,150,45,6.46
3120,200,-50,-7.33
3180,150,35,4.96
3240,350,10,0.87
3300,350,40,2.48
3360,300,-30,-2.87
3420,500,-25,-1.36
3480,150,-30,-5.48
3540,200,50,5.59
3600,100,-45,-12.42
3660,300,-40,-3.74
3720,300,-10,-0.94
3780,450,-45,-2.94
3840,100,-15,-3.6
3900,500,20,0.73
3960,300,-35,-3.43
4020,250,50,4.67
4080,400,-30,-2.63
4140,350,15,1.1
4200,100,10,1.99
4260,500,-15,-1.16
4320,100,0,-0.2
4380,100,-5,-1.06
4440,450,50,3.19
4500,500,25,0.94
4560,450,30,1.18
4620,100,-25,-6.3
4680,450,15,0.9
4740,250,45,3.9
4800,100,15,2.79
4860,100,20,4.45
4920,400,50,3.08
4980,300,-45,-4.41
5040,250,-40,-4.81
5100,450,40,1.94
5160,250,-45,-5.34
5220,200,-30,-4.01
5280,400,-10,-0.78
5340,500,35,1.74
5400,250,10,0.96
5460,500,40,2.02
5520,350,35,2.87
5580,250,40,3.65
5640,300,35,2.78
5700,200,15,1.56
5760,500,0,0.36
5820,150,-50,-9.24
5880,400,-30,-2.12
5940,300,-5,0.01
6000,200,-45,-6.54
6060,300,50,4.21
6120,300,5,0.76
6180,100,-20,-4.69
6240,200,-5,-0.69
6300,250,-15,-1.32
6360,150,30,5.01
6420,400,-50,-3.54
6480,400,-15,-0.87
6540,200,-20,-2.65
6600,100,40,8.38
6660,500,10,1.24
6720,500,5,0.36
6780,350,5,0.59
6840,500,30,1.85
6900,300,-25,-2.24
6960,300,10,1.22
7020,150,-35,-5.91
7080,350,-35,-2.59
7140,200,-15,-2.04
7200,200,45,5.48
7260,450,-5,-0.16
7320,500,-10,-0.54
7380,300,15,1.24
7440,300,-50,-4.78
7500,250,-30,-3.13
7560,100,-30,-7.85
7620,350,30,2.06
7680,250,-5,-0.32
7740,250,20,2.22
7800,500,-50,-3.06
7860,350,0,0.1
7920,350,-30,-2.57
7980,100,-45,-12.13
8040,450,5,0.07
8100,500,-35,-1.99
8160,300,0,0.22
8220,400,10,0.47
8280,100,-40,-10.79
8340,200,-40,-5.77
8400,350,45,3.51
8460,150,10,1.44
8520,150,0,-0.04
8580,450,-20,-1.49
8640,400,-35,-2.51
8700,200,-10,-1.45
8760,300,-20,-1.9
8820,100,50,9.13
8880,400,25,1.89
8940,250,0,-0.18
9000,250,-50,-5.79
9060,250,-10,-1.44
9120,450,20,1.12
9180,450,35,1.79
9240,500,-30,-1.74
9300,450,-15,-1.15
9360,150,-10,-1.88
9420,150,5,0.85
9480,400,-25,-2.01
9540,400,20,1.13
9600,150,-5,-1.11
9660,200,30,3.67
9720,450,-50,-3.25
9780,400,5,0.12
9840,100,35,7.14
9900,200,20,2.34
9960,250,30,2.5
10020,100,-35,-9.7
10080,400,-5,-0.29
10140,350,-15,-1.39
10200,400,-45,-3.11
10260,300,40,3.29
10320,200,10,1.24
10380,350,-10,-0.74
10440,400,35,1.94
10500,350,-25,-1.95
10560,500,15,0.54
10620,100,-10,-2.65
10680,250,25,2.28
10740,300,45,3.81
10800,300,30,2.65
10860,400,-20,-1.44
10920,300,-5,-0.3
10980,450,0,0.03
11040,450,15,1.12
11100,500,45,2.44
11160,350,-45,-3.56
11220,500,-20,-1.14
11280,150,-25,-4.25
# Name: Raffaelli Tommaso ID: 234813
